Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Non-responder,51,4,4 Visits,0,Under £50,No Visits,Female,25
Non-responder,69,4,4 Visits,0,Under £50,No Visits,Female,25
Responder,85,1,1 Visit,3,Under £50,3 Visits,Male,25
Non-responder,57,4,4 Visits,0,Under £50,No Visits,Male,25
Non-responder,63,4,4 Visits,0,Under £50,No Visits,Male,25
Responder,58,3,3 Visits,1,Under £50,1 Visit,Male,26
Non-responder,80,4,4 Visits,0,Under £50,No Visits,Male,26
Non-responder,65,4,4 Visits,0,Under £50,No Visits,Male,26
Responder,58,3,3 Visits,1,Under £50,1 Visit,Female,27
Responder,56,3,3 Visits,1,Under £50,1 Visit,Male,27
Non-responder,69,4,4 Visits,0,Under £50,No Visits,Male,27
Responder,75,3,3 Visits,1,Under £50,1 Visit,Female,28
Non-responder,104,4,4 Visits,0,Under £50,No Visits,Female,28
Non-responder,51,4,4 Visits,0,Under £50,No Visits,Female,28
Non-responder,77,4,4 Visits,0,Under £50,No Visits,Female,28
Responder,69,3,3 Visits,1,Under £50,1 Visit,Male,28
Non-responder,92,4,4 Visits,0,Under £50,No Visits,Male,28
Non-responder,82,4,4 Visits,0,Under £50,No Visits,Male,28
Non-responder,65,4,4 Visits,0,Under £50,No Visits,Male,28
Non-responder,94,4,4 Visits,0,Under £50,No Visits,Female,29
Non-responder,78,4,4 Visits,0,Under £50,No Visits,Female,29
Responder,53,2,2 Visits,2,Under £50,2 Visits,Male,29
Non-responder,59,4,4 Visits,0,Under £50,No Visits,Male,29
Non-responder,90,4,4 Visits,0,Under £50,No Visits,Male,29
Non-responder,83,4,4 Visits,0,Under £50,No Visits,Male,29
Non-responder,119,4,4 Visits,0,Under £50,No Visits,Male,29
Responder,64,3,3 Visits,1,Under £50,1 Visit,Female,30
Non-responder,68,4,4 Visits,0,Under £50,No Visits,Female,30
Non-responder,82,4,4 Visits,0,Under £50,No Visits,Female,30
Non-responder,153,4,4 Visits,0,Under £50,No Visits,Male,30
Non-responder,51,4,4 Visits,0,Under £50,No Visits,Male,30
Non-responder,99,4,4 Visits,0,Under £50,No Visits,Male,30
Non-responder,93,4,4 Visits,0,Under £50,No Visits,Female,31
Non-responder,98,4,4 Visits,0,Under £50,No Visits,Male,31
Non-responder,75,4,4 Visits,0,Under £50,No Visits,Male,31
Responder,236,3,3 Visits,1,Under £50,1 Visit,Female,32
Responder,66,3,3 Visits,1,Under £50,1 Visit,Female,32
Responder,85,3,3 Visits,1,£50-£100,1 Visit,Male,32
Responder,70,3,3 Visits,1,Under £50,1 Visit,Male,32
Responder,95,3,3 Visits,1,Under £50,1 Visit,Male,32
Responder,72,3,3 Visits,1,Under £50,1 Visit,Male,32
Non-responder,168,4,4 Visits,0,Under £50,No Visits,Male,32
Non-responder,93,4,4 Visits,0,Under £50,No Visits,Male,32
Non-responder,66,4,4 Visits,0,Under £50,No Visits,Male,32
Non-responder,90,4,4 Visits,0,Under £50,No Visits,Male,32
Responder,75,3,3 Visits,1,Under £50,1 Visit,Female,33
Responder,83,2,2 Visits,2,Under £50,2 Visits,Female,33
Non-responder,55,4,4 Visits,0,Under £50,No Visits,Female,33
Non-responder,87,4,4 Visits,0,Under £50,No Visits,Female,33
Responder,90,3,3 Visits,1,£50-£100,1 Visit,Male,33
Responder,59,2,2 Visits,2,£50-£100,2 Visits,Male,33
Non-responder,87,4,4 Visits,0,Under £50,No Visits,Male,33
Non-responder,166,4,4 Visits,0,Under £50,No Visits,Male,33
Non-responder,59,4,4 Visits,0,Under £50,No Visits,Male,33
Responder,69,3,3 Visits,1,Under £50,1 Visit,Female,34
Responder,58,3,3 Visits,1,Under £50,1 Visit,Female,34
Non-responder,80,4,4 Visits,0,Under £50,No Visits,Female,34
Non-responder,94,4,4 Visits,0,Under £50,No Visits,Male,34
Non-responder,58,4,4 Visits,0,Under £50,No Visits,Male,34
Non-responder,66,4,4 Visits,0,Under £50,No Visits,Male,34
Non-responder,100,4,4 Visits,0,Under £50,No Visits,Male,34
Responder,95,3,3 Visits,1,Under £50,1 Visit,Female,35
Non-responder,74,4,4 Visits,0,Under £50,No Visits,Female,35
Non-responder,89,4,4 Visits,0,Under £50,No Visits,Female,35
Non-responder,60,4,4 Visits,0,Under £50,No Visits,Female,35
Non-responder,58,4,4 Visits,0,Under £50,No Visits,Male,35
Non-responder,57,4,4 Visits,0,Under £50,No Visits,Male,35
Non-responder,83,4,4 Visits,0,Under £50,No Visits,Male,35
Responder,90,2,2 Visits,2,Under £50,2 Visits,Female,36
Non-responder,79,4,4 Visits,0,Under £50,No Visits,Female,36
Non-responder,72,4,4 Visits,0,Under £50,No Visits,Female,36
Non-responder,42,4,4 Visits,0,Under £50,No Visits,Female,36
Responder,90,1,1 Visit,3,Under £50,3 Visits,Male,36
Non-responder,80,4,4 Visits,0,Under £50,No Visits,Male,36
Responder,56,2,2 Visits,2,£250-£300,2 Visits,Female,37
Non-responder,89,4,4 Visits,0,Under £50,No Visits,Female,37
Non-responder,101,4,4 Visits,0,Under £50,No Visits,Female,37
Responder,55,3,3 Visits,1,Under £50,1 Visit,Male,37
Non-responder,46,4,4 Visits,0,Under £50,No Visits,Male,37
Non-responder,57,4,4 Visits,0,Under £50,No Visits,Male,37
Non-responder,58,4,4 Visits,0,Under £50,No Visits,Male,37
Non-responder,77,4,4 Visits,0,Under £50,No Visits,Male,37
Non-responder,72,4,4 Visits,0,Under £50,No Visits,Male,37
Non-responder,157,4,4 Visits,0,Under £50,No Visits,Male,37
Non-responder,64,4,4 Visits,0,Under £50,No Visits,Female,38
Non-responder,58,4,4 Visits,0,Under £50,No Visits,Female,38
Non-responder,68,4,4 Visits,0,Under £50,No Visits,Female,38
Non-responder,93,4,4 Visits,0,Under £50,No Visits,Male,38
Non-responder,71,4,4 Visits,0,Under £50,No Visits,Male,38
Non-responder,54,4,4 Visits,0,Under £50,No Visits,Male,38
Non-responder,52,4,4 Visits,0,Under £50,No Visits,Male,38
Non-responder,57,4,4 Visits,0,Under £50,No Visits,Male,38
Non-responder,98,4,4 Visits,0,Under £50,No Visits,Male,38
Non-responder,53,4,4 Visits,0,Under £50,No Visits,Male,38
Non-responder,13,4,4 Visits,0,Under £50,No Visits,Female,39
Non-responder,67,4,4 Visits,0,Under £50,No Visits,Female,39
Non-responder,81,4,4 Visits,0,Under £50,No Visits,Female,39
Non-responder,70,4,4 Visits,0,Under £50,No Visits,Female,39
Non-responder,60,4,4 Visits,0,Under £50,No Visits,Male,39
Non-responder,124,4,4 Visits,0,Under £50,No Visits,Male,39
Non-responder,68,4,4 Visits,0,Under £50,No Visits,Male,39
Non-responder,82,4,4 Visits,0,Under £50,No Visits,Male,39
Responder,66,3,3 Visits,1,Under £50,1 Visit,Female,40
Responder,57,3,3 Visits,1,Under £50,1 Visit,Female,40
Non-responder,94,4,4 Visits,0,Under £50,No Visits,Female,40
Non-responder,71,4,4 Visits,0,Under £50,No Visits,Female,40
Non-responder,68,4,4 Visits,0,Under £50,No Visits,Male,40
Responder,68,3,3 Visits,1,Under £50,1 Visit,Female,41
Non-responder,52,4,4 Visits,0,Under £50,No Visits,Female,41
Responder,58,2,2 Visits,2,Under £50,2 Visits,Male,41
Non-responder,56,4,4 Visits,0,Under £50,No Visits,Male,41
Responder,65,1,1 Visit,3,£100-£150,3 Visits,Female,42
Non-responder,81,4,4 Visits,0,Under £50,No Visits,Female,42
Responder,56,3,3 Visits,1,Under £50,1 Visit,Male,42
Non-responder,67,4,4 Visits,0,Under £50,No Visits,Male,42
Non-responder,69,4,4 Visits,0,Under £50,No Visits,Male,42
Non-responder,98,4,4 Visits,0,Under £50,No Visits,Male,42
Non-responder,97,4,4 Visits,0,Under £50,No Visits,Male,42
Non-responder,76,4,4 Visits,0,Under £50,No Visits,Male,42
Non-responder,66,4,4 Visits,0,Under £50,No Visits,Male,42
Responder,55,1,1 Visit,3,Under £50,3 Visits,Female,43
Responder,80,3,3 Visits,1,Under £50,1 Visit,Female,43
Non-responder,33,4,4 Visits,0,Under £50,No Visits,Female,43
Non-responder,74,4,4 Visits,0,Under £50,No Visits,Male,43
Non-responder,79,4,4 Visits,0,Under £50,No Visits,Male,43
Responder,66,2,2 Visits,2,Under £50,2 Visits,Female,44
Responder,98,2,2 Visits,2,Under £50,2 Visits,Female,44
Non-responder,77,4,4 Visits,0,Under £50,No Visits,Female,44
Non-responder,78,4,4 Visits,0,Under £50,No Visits,Female,44
Responder,81,2,2 Visits,2,Under £50,2 Visits,Male,44
Responder,59,3,3 Visits,1,£50-£100,1 Visit,Male,44
Non-responder,90,4,4 Visits,0,Under £50,No Visits,Male,44
Non-responder,67,4,4 Visits,0,Under £50,No Visits,Male,44
Non-responder,56,4,4 Visits,0,Under £50,No Visits,Female,45
Responder,82,2,2 Visits,2,Under £50,2 Visits,Male,45
Non-responder,75,4,4 Visits,0,Under £50,No Visits,Male,45
Non-responder,90,4,4 Visits,0,Under £50,No Visits,Male,45
Non-responder,58,4,4 Visits,0,Under £50,No Visits,Male,45
Non-responder,90,4,4 Visits,0,Under £50,No Visits,Male,45
Non-responder,71,4,4 Visits,0,Under £50,No Visits,Male,45
Non-responder,92,4,4 Visits,0,Under £50,No Visits,Male,45
Responder,90,3,3 Visits,1,Under £50,1 Visit,Female,46
Responder,57,3,3 Visits,1,Under £50,1 Visit,Female,46
Non-responder,60,4,4 Visits,0,Under £50,No Visits,Female,46
Non-responder,55,4,4 Visits,0,Under £50,No Visits,Male,46
Non-responder,100,4,4 Visits,0,Under £50,No Visits,Male,46
Responder,53,2,2 Visits,2,Under £50,2 Visits,Male,47
Responder,86,3,3 Visits,1,Under £50,1 Visit,Male,47
Responder,24,3,3 Visits,1,Under £50,1 Visit,Male,47
Responder,73,2,2 Visits,2,£150-200,2 Visits,Male,47
Responder,77,3,3 Visits,1,£100-£150,1 Visit,Male,47
Non-responder,66,4,4 Visits,0,Under £50,No Visits,Male,47
Non-responder,65,4,4 Visits,0,Under £50,No Visits,Male,47
Non-responder,78,4,4 Visits,0,Under £50,No Visits,Male,47
Responder,77,2,2 Visits,2,Under £50,2 Visits,Male,48
Non-responder,54,4,4 Visits,0,Under £50,No Visits,Male,48
Non-responder,66,4,4 Visits,0,Under £50,No Visits,Male,48
Non-responder,50,4,4 Visits,0,Under £50,No Visits,Male,48
Non-responder,54,4,4 Visits,0,Under £50,No Visits,Male,48
Non-responder,60,4,4 Visits,0,Under £50,No Visits,Male,48
Non-responder,74,4,4 Visits,0,Under £50,No Visits,Male,48
Non-responder,60,4,4 Visits,0,Under £50,No Visits,Female,49
Non-responder,81,4,4 Visits,0,Under £50,No Visits,Female,49
Responder,72,3,3 Visits,1,Under £50,1 Visit,Male,49
Responder,89,3,3 Visits,1,Under £50,1 Visit,Female,50
Responder,91,3,3 Visits,1,Under £50,1 Visit,Female,50
Non-responder,74,4,4 Visits,0,Under £50,No Visits,Female,50
Non-responder,82,4,4 Visits,0,Under £50,No Visits,Female,50
Responder,96,3,3 Visits,1,Under £50,1 Visit,Male,50
Responder,64,3,3 Visits,1,Under £50,1 Visit,Male,50
Non-responder,55,4,4 Visits,0,Under £50,No Visits,Male,50
Non-responder,60,4,4 Visits,0,Under £50,No Visits,Male,50
Responder,58,2,2 Visits,2,Under £50,2 Visits,Male,51
Non-responder,76,4,4 Visits,0,Under £50,No Visits,Male,51
Responder,66,3,3 Visits,1,Under £50,1 Visit,Female,52
Responder,51,3,3 Visits,1,Under £50,1 Visit,Male,52
Non-responder,78,4,4 Visits,0,Under £50,No Visits,Male,52
Non-responder,91,4,4 Visits,0,Under £50,No Visits,Female,53
Non-responder,56,4,4 Visits,0,Under £50,No Visits,Male,53
Responder,71,2,2 Visits,2,Under £50,2 Visits,Male,54
Responder,64,2,2 Visits,2,Under £50,2 Visits,Male,54
Responder,36,3,3 Visits,1,Under £50,1 Visit,Male,54
Responder,18,2,2 Visits,2,Under £50,2 Visits,Male,54
Non-responder,55,4,4 Visits,0,Under £50,No Visits,Male,54
Responder,53,2,2 Visits,2,Under £50,2 Visits,Female,55
Non-responder,107,4,4 Visits,0,Under £50,No Visits,Female,56
Non-responder,92,4,4 Visits,0,Under £50,No Visits,Female,56
Non-responder,52,4,4 Visits,0,Under £50,No Visits,Male,56
Non-responder,94,4,4 Visits,0,Under £50,No Visits,Male,56
Non-responder,70,4,4 Visits,0,Under £50,No Visits,Male,56
Non-responder,67,4,4 Visits,0,Under £50,No Visits,Female,57
Responder,63,3,3 Visits,1,Under £50,1 Visit,Male,57
Non-responder,84,4,4 Visits,0,Under £50,No Visits,Male,57
Non-responder,91,4,4 Visits,0,Under £50,No Visits,Male,57
Non-responder,112,4,4 Visits,0,Under £50,No Visits,Male,57
Responder,99,3,3 Visits,1,Under £50,1 Visit,Female,58
Non-responder,82,4,4 Visits,0,Under £50,No Visits,Female,58
Non-responder,56,4,4 Visits,0,Under £50,No Visits,Male,58
Non-responder,70,4,4 Visits,0,Under £50,No Visits,Male,58
Non-responder,53,4,4 Visits,0,Under £50,No Visits,Male,58
Non-responder,60,4,4 Visits,0,Under £50,No Visits,Male,58
Responder,47,3,3 Visits,1,Under £50,1 Visit,Male,59
Non-responder,50,4,4 Visits,0,Under £50,No Visits,Male,59
Non-responder,151,4,4 Visits,0,Under £50,No Visits,Male,60
Non-responder,81,4,4 Visits,0,Under £50,No Visits,Female,61
Responder,57,3,3 Visits,1,Under £50,1 Visit,Male,61
Non-responder,82,4,4 Visits,0,Under £50,No Visits,Male,61
Responder,97,3,3 Visits,1,Under £50,1 Visit,Male,62
Responder,89,3,3 Visits,1,£100-£150,1 Visit,Male,62
Non-responder,53,4,4 Visits,0,Under £50,No Visits,Male,62
Responder,58,2,2 Visits,2,Under £50,2 Visits,Female,63
Responder,64,3,3 Visits,1,Under £50,1 Visit,Male,63
Responder,71,3,3 Visits,1,Under £50,1 Visit,Male,63
Non-responder,85,4,4 Visits,0,Under £50,No Visits,Male,63
Non-responder,94,4,4 Visits,0,Under £50,No Visits,Male,63
Non-responder,69,4,4 Visits,0,Under £50,No Visits,Male,64
Non-responder,90,4,4 Visits,0,Under £50,No Visits,Male,64
Non-responder,88,4,4 Visits,0,Under £50,No Visits,Female,65
Responder,39,3,3 Visits,1,Under £50,1 Visit,Male,65
Non-responder,54,4,4 Visits,0,Under £50,No Visits,Female,66
Responder,94,3,3 Visits,1,Under £50,1 Visit,Male,66
Non-responder,65,4,4 Visits,0,Under £50,No Visits,Female,67
Non-responder,77,4,4 Visits,0,Under £50,No Visits,Female,67
Responder,59,3,3 Visits,1,Under £50,1 Visit,Male,67
Non-responder,83,4,4 Visits,0,Under £50,No Visits,Male,67
Non-responder,87,4,4 Visits,0,Under £50,No Visits,Male,67
Non-responder,59,4,4 Visits,0,Under £50,No Visits,Male,67
Non-responder,70,4,4 Visits,0,Under £50,No Visits,Male,68
Non-responder,50,4,4 Visits,0,Under £50,No Visits,Male,69
Non-responder,83,4,4 Visits,0,Under £50,No Visits,Male,69
Non-responder,97,4,4 Visits,0,Under £50,No Visits,Male,70
Non-responder,59,4,4 Visits,0,Under £50,No Visits,Male,70
Non-responder,56,4,4 Visits,0,Under £50,No Visits,Male,71
Non-responder,81,4,4 Visits,0,Under £50,No Visits,Male,71
Non-responder,56,4,4 Visits,0,Under £50,No Visits,Male,75
Non-responder,56,4,4 Visits,0,Under £50,No Visits,Male,76
Responder,58,3,3 Visits,1,Under £50,1 Visit,Male,78
Non-responder,51,4,4 Visits,0,Under £50,No Visits,Male,78
Non-responder,65,4,4 Visits,0,Under £50,No Visits,Male,78
Non-responder,73,4,4 Visits,0,Under £50,No Visits,Female,79
Non-responder,68,3,3 Visits,0,Under £50,No Visits,Male,20
Non-responder,66,3,3 Visits,0,Under £50,No Visits,Female,22
Responder,45,2,2 Visits,1,Under £50,1 Visit,Male,22
Non-responder,76,3,3 Visits,0,Under £50,No Visits,Female,23
Non-responder,37,3,3 Visits,0,Under £50,No Visits,Male,23
Non-responder,89,3,3 Visits,0,Under £50,No Visits,Male,23
Non-responder,69,3,3 Visits,0,Under £50,No Visits,Male,23
Responder,70,2,2 Visits,1,Under £50,1 Visit,Female,24
Non-responder,63,3,3 Visits,0,Under £50,No Visits,Female,24
Non-responder,56,3,3 Visits,0,Under £50,No Visits,Male,24
Non-responder,80,3,3 Visits,0,Under £50,No Visits,Male,24
Non-responder,89,3,3 Visits,0,Under £50,No Visits,Male,24
Responder,67,1,1 Visit,2,Under £50,2 Visits,Female,25
Non-responder,87,3,3 Visits,0,Under £50,No Visits,Female,25
Non-responder,51,3,3 Visits,0,Under £50,No Visits,Female,25
Non-responder,69,3,3 Visits,0,Under £50,No Visits,Male,25
Non-responder,85,3,3 Visits,0,Under £50,No Visits,Male,25
Responder,53,1,1 Visit,2,£150-200,2 Visits,Female,26
Responder,61,1,1 Visit,2,Under £50,2 Visits,Female,26
Non-responder,74,3,3 Visits,0,Under £50,No Visits,Male,26
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Male,26
Non-responder,63,3,3 Visits,0,Under £50,No Visits,Male,26
Non-responder,93,3,3 Visits,0,Under £50,No Visits,Male,26
Non-responder,75,3,3 Visits,0,Under £50,No Visits,Male,26
Non-responder,98,3,3 Visits,0,Under £50,No Visits,Male,26
Non-responder,84,3,3 Visits,0,Under £50,No Visits,Female,27
Non-responder,44,3,3 Visits,0,Under £50,No Visits,Female,27
Responder,85,2,2 Visits,1,Under £50,1 Visit,Male,27
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,27
Non-responder,90,3,3 Visits,0,Under £50,No Visits,Male,27
Non-responder,58,3,3 Visits,0,Under £50,No Visits,Male,27
Non-responder,83,3,3 Visits,0,Under £50,No Visits,Male,27
Non-responder,62,3,3 Visits,0,Under £50,No Visits,Male,27
Responder,56,1,1 Visit,2,Under £50,2 Visits,Female,28
Responder,36,2,2 Visits,1,Under £50,1 Visit,Female,28
Non-responder,85,3,3 Visits,0,Under £50,No Visits,Female,28
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Female,28
Non-responder,84,3,3 Visits,0,Under £50,No Visits,Male,28
Non-responder,75,3,3 Visits,0,Under £50,No Visits,Male,28
Non-responder,65,3,3 Visits,0,Under £50,No Visits,Male,28
Responder,76,2,2 Visits,1,Under £50,1 Visit,Female,29
Non-responder,69,3,3 Visits,0,Under £50,No Visits,Female,29
Non-responder,92,3,3 Visits,0,Under £50,No Visits,Female,29
Non-responder,61,3,3 Visits,0,Under £50,No Visits,Male,29
Non-responder,72,3,3 Visits,0,Under £50,No Visits,Male,29
Non-responder,63,3,3 Visits,0,Under £50,No Visits,Male,29
Non-responder,62,3,3 Visits,0,Under £50,No Visits,Male,29
Non-responder,40,3,3 Visits,0,Under £50,No Visits,Female,30
Non-responder,88,3,3 Visits,0,Under £50,No Visits,Female,30
Responder,27,2,2 Visits,1,Under £50,1 Visit,Male,30
Responder,81,2,2 Visits,1,Under £50,1 Visit,Male,30
Non-responder,67,3,3 Visits,0,Under £50,No Visits,Male,30
Non-responder,56,3,3 Visits,0,Under £50,No Visits,Male,30
Non-responder,57,3,3 Visits,0,Under £50,No Visits,Male,30
Non-responder,72,3,3 Visits,0,Under £50,No Visits,Male,30
Responder,96,2,2 Visits,1,Under £50,1 Visit,Female,31
Responder,77,2,2 Visits,1,Under £50,1 Visit,Female,31
Non-responder,64,3,3 Visits,0,Under £50,No Visits,Female,31
Non-responder,57,3,3 Visits,0,Under £50,No Visits,Female,31
Non-responder,65,3,3 Visits,0,Under £50,No Visits,Female,31
Non-responder,52,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,80,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,83,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,66,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,52,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,62,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,74,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,57,3,3 Visits,0,Under £50,No Visits,Male,31
Non-responder,3,3,3 Visits,0,Under £50,No Visits,Male,31
Responder,66,2,2 Visits,1,Under £50,1 Visit,Female,32
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Female,32
Non-responder,61,3,3 Visits,0,Under £50,No Visits,Female,32
Non-responder,50,3,3 Visits,0,Under £50,No Visits,Female,32
Non-responder,45,3,3 Visits,0,Under £50,No Visits,Female,32
Non-responder,83,3,3 Visits,0,Under £50,No Visits,Male,32
Non-responder,76,3,3 Visits,0,Under £50,No Visits,Male,32
Non-responder,70,3,3 Visits,0,Under £50,No Visits,Male,32
Non-responder,53,3,3 Visits,0,Under £50,No Visits,Male,32
Non-responder,51,3,3 Visits,0,Under £50,No Visits,Female,33
Non-responder,54,3,3 Visits,0,Under £50,No Visits,Male,33
Non-responder,67,3,3 Visits,0,Under £50,No Visits,Male,33
Non-responder,25,3,3 Visits,0,Under £50,No Visits,Male,33
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Male,33
Non-responder,93,3,3 Visits,0,Under £50,No Visits,Male,33
Non-responder,80,3,3 Visits,0,Under £50,No Visits,Male,33
Non-responder,85,3,3 Visits,0,Under £50,No Visits,Female,34
Non-responder,70,3,3 Visits,0,Under £50,No Visits,Female,34
Non-responder,91,3,3 Visits,0,Under £50,No Visits,Female,34
Non-responder,114,3,3 Visits,0,Under £50,No Visits,Male,34
Non-responder,79,3,3 Visits,0,Under £50,No Visits,Male,34
Non-responder,74,3,3 Visits,0,Under £50,No Visits,Male,34
Non-responder,53,3,3 Visits,0,Under £50,No Visits,Male,34
Non-responder,73,3,3 Visits,0,Under £50,No Visits,Male,34
Non-responder,66,3,3 Visits,0,Under £50,No Visits,Male,34
Non-responder,54,3,3 Visits,0,Under £50,No Visits,Female,35
Non-responder,66,3,3 Visits,0,Under £50,No Visits,Female,35
Non-responder,31,3,3 Visits,0,Under £50,No Visits,Female,35
Non-responder,99,3,3 Visits,0,Under £50,No Visits,Female,35
Non-responder,68,3,3 Visits,0,Under £50,No Visits,Female,35
Responder,67,2,2 Visits,1,Under £50,1 Visit,Male,35
Responder,52,2,2 Visits,1,Under £50,1 Visit,Male,35
Responder,56,2,2 Visits,1,Under £50,1 Visit,Male,35
Responder,58,1,1 Visit,2,£50-£100,2 Visits,Male,35
Responder,34,2,2 Visits,1,Under £50,1 Visit,Male,35
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,35
Non-responder,66,3,3 Visits,0,Under £50,No Visits,Male,35
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Male,35
Non-responder,52,3,3 Visits,0,Under £50,No Visits,Male,35
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Male,35
Responder,51,2,2 Visits,1,Under £50,1 Visit,Female,36
Non-responder,53,3,3 Visits,0,Under £50,No Visits,Female,36
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Female,36
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Female,36
Non-responder,70,3,3 Visits,0,Under £50,No Visits,Female,36
Responder,53,1,1 Visit,2,Under £50,2 Visits,Male,36
Responder,65,2,2 Visits,1,Under £50,1 Visit,Male,36
Non-responder,45,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,65,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,50,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,88,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,54,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,31,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,62,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,85,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,82,3,3 Visits,0,Under £50,No Visits,Male,36
Non-responder,56,3,3 Visits,0,Under £50,No Visits,Female,37
Responder,84,2,2 Visits,1,Under £50,1 Visit,Male,37
Responder,78,2,2 Visits,1,£50-£100,1 Visit,Male,37
Non-responder,67,3,3 Visits,0,Under £50,No Visits,Male,37
Non-responder,95,3,3 Visits,0,Under £50,No Visits,Male,37
Non-responder,77,3,3 Visits,0,Under £50,No Visits,Male,37
Non-responder,61,3,3 Visits,0,Under £50,No Visits,Male,37
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Female,38
Non-responder,77,3,3 Visits,0,Under £50,No Visits,Female,38
Responder,88,1,1 Visit,2,Under £50,2 Visits,Male,38
Responder,97,1,1 Visit,2,Under £50,2 Visits,Male,38
Non-responder,54,3,3 Visits,0,Under £50,No Visits,Male,38
Non-responder,81,3,3 Visits,0,Under £50,No Visits,Male,38
Responder,59,2,2 Visits,1,Under £50,1 Visit,Female,39
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Female,39
Responder,98,2,2 Visits,1,Under £50,1 Visit,Male,39
Non-responder,74,3,3 Visits,0,Under £50,No Visits,Male,39
Non-responder,54,3,3 Visits,0,Under £50,No Visits,Male,39
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,39
Non-responder,83,3,3 Visits,0,Under £50,No Visits,Male,39
Non-responder,28,3,3 Visits,0,Under £50,No Visits,Female,40
Non-responder,91,3,3 Visits,0,Under £50,No Visits,Female,40
Responder,95,1,1 Visit,2,£50-£100,2 Visits,Male,40
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Male,40
Non-responder,0,3,3 Visits,0,Under £50,No Visits,Male,40
Non-responder,58,3,3 Visits,0,Under £50,No Visits,Male,40
Responder,89,2,2 Visits,1,£50-£100,1 Visit,Female,41
Non-responder,92,3,3 Visits,0,Under £50,No Visits,Female,41
Responder,58,2,2 Visits,1,Under £50,1 Visit,Male,41
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Male,41
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Male,41
Non-responder,64,3,3 Visits,0,Under £50,No Visits,Male,41
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,41
Non-responder,69,3,3 Visits,0,Under £50,No Visits,Male,41
Responder,67,2,2 Visits,1,Under £50,1 Visit,Female,42
Responder,59,2,2 Visits,1,Under £50,1 Visit,Female,42
Non-responder,58,3,3 Visits,0,Under £50,No Visits,Female,42
Non-responder,86,3,3 Visits,0,Under £50,No Visits,Female,42
Non-responder,98,3,3 Visits,0,Under £50,No Visits,Female,42
Responder,29,1,1 Visit,2,Under £50,2 Visits,Male,42
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,42
Non-responder,82,3,3 Visits,0,Under £50,No Visits,Male,42
Non-responder,53,3,3 Visits,0,Under £50,No Visits,Male,42
Non-responder,92,3,3 Visits,0,Under £50,No Visits,Male,42
Responder,96,2,2 Visits,1,Under £50,1 Visit,Female,43
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Female,43
Non-responder,114,3,3 Visits,0,Under £50,No Visits,Male,43
Non-responder,85,3,3 Visits,0,Under £50,No Visits,Male,43
Non-responder,68,3,3 Visits,0,Under £50,No Visits,Male,43
Non-responder,89,3,3 Visits,0,Under £50,No Visits,Male,43
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Male,43
Non-responder,57,3,3 Visits,0,Under £50,No Visits,Female,44
Non-responder,70,3,3 Visits,0,Under £50,No Visits,Female,44
Non-responder,79,3,3 Visits,0,Under £50,No Visits,Female,44
Non-responder,52,3,3 Visits,0,Under £50,No Visits,Female,44
Non-responder,86,3,3 Visits,0,Under £50,No Visits,Female,44
Responder,80,2,2 Visits,1,Under £50,1 Visit,Male,44
Responder,63,2,2 Visits,1,Under £50,1 Visit,Male,44
Non-responder,79,3,3 Visits,0,Under £50,No Visits,Male,44
