Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Responder,169,7,5 Or More Visits,2,Under £50,2 Visits,Male,53
Responder,169,8,5 Or More Visits,1,Under £50,1 Visit,Male,53
Responder,107,7,5 Or More Visits,2,Under £50,2 Visits,Female,54
Responder,221,4,4 Visits,5,£50-£100,5 Or More Visits,Female,54
Responder,68,6,5 Or More Visits,3,£50-£100,3 Visits,Male,56
Non-responder,66,9,5 Or More Visits,0,Under £50,No Visits,Male,56
Responder,97,8,5 Or More Visits,1,Under £50,1 Visit,Male,58
Responder,130,8,5 Or More Visits,1,Under £50,1 Visit,Male,59
Responder,93,5,5 Or More Visits,4,Under £50,4 Visits,Male,60
Responder,100,7,5 Or More Visits,2,Under £50,2 Visits,Female,61
Non-responder,118,9,5 Or More Visits,0,Under £50,No Visits,Male,62
Responder,87,8,5 Or More Visits,1,Under £50,1 Visit,Male,65
Non-responder,80,9,5 Or More Visits,0,Under £50,No Visits,Male,66
Responder,97,5,5 Or More Visits,4,Under £50,4 Visits,Male,69
Responder,47,7,5 Or More Visits,2,Under £50,2 Visits,Male,69
Non-responder,58,9,5 Or More Visits,0,Under £50,No Visits,Male,69
Responder,44,8,5 Or More Visits,1,Under £50,1 Visit,Male,70
Responder,69,7,5 Or More Visits,2,Under £50,2 Visits,Male,71
Responder,97,6,5 Or More Visits,3,Under £50,3 Visits,Female,72
Responder,60,7,5 Or More Visits,2,Under £50,2 Visits,Male,73
Non-responder,79,9,5 Or More Visits,0,Under £50,No Visits,Male,74
Responder,190,6,5 Or More Visits,2,Under £50,2 Visits,Female,24
Non-responder,67,8,5 Or More Visits,0,Under £50,No Visits,Female,24
Responder,91,6,5 Or More Visits,2,Under £50,2 Visits,Male,24
Non-responder,88,8,5 Or More Visits,0,Under £50,No Visits,Male,24
Non-responder,58,8,5 Or More Visits,0,Under £50,No Visits,Female,26
Responder,155,7,5 Or More Visits,1,Under £50,1 Visit,Female,27
Non-responder,85,8,5 Or More Visits,0,Under £50,No Visits,Male,27
Responder,87,7,5 Or More Visits,1,Under £50,1 Visit,Male,30
Responder,94,6,5 Or More Visits,2,Under £50,2 Visits,Male,31
Responder,92,7,5 Or More Visits,1,Under £50,1 Visit,Male,31
Non-responder,161,8,5 Or More Visits,0,Under £50,No Visits,Female,32
Non-responder,91,8,5 Or More Visits,0,Under £50,No Visits,Female,32
Responder,65,1,1 Visit,7,£50-£100,5 Or More Visits,Male,32
Responder,57,5,5 Or More Visits,3,£50-£100,3 Visits,Female,33
Non-responder,108,8,5 Or More Visits,0,Under £50,No Visits,Female,33
